,count,mean,median,std,min,25%,50%,75%,max
roe,10.0,30.526999999999997,23.35,19.99077289929309,12.53,18.6525,23.35,35.97,78.66
roce,10.0,31.45199999999999,23.345,22.97743907981624,12.9,14.225000000000001,23.345,37.849999999999994,81.07
debt_to_equity,10.0,0.33100000000000007,0.375,0.25540599488309235,0.0,0.0925,0.375,0.5525,0.62
free_cash_flow,10.0,1770.605,949.9599999999996,4130.550035851427,-3387.09,-244.97250000000008,949.9599999999996,3495.125,11318.43
operating_profit,10.0,6195.7970000000005,5904.63,2483.986472480834,2991.92,4673.025,5904.63,6934.0025000000005,11518.25
