,P10,P25,P50,P75,P90,Mean,Std
sales,17905.1,20367.5,33266.5,41839.0,44337.0,31049.0,12195.639575957739
operating_profit,3579.3410000000003,4673.025,5904.63,6934.0025000000005,8784.796999999999,6195.7970000000005,2483.986472480834
net_profit,2982.48,3164.675,4414.195,6044.7825,8525.643,4971.572999999999,2242.073343829818
roe,13.592,18.6525,23.35,35.97,48.54599999999999,30.526999999999997,19.99077289929309
roce,13.404000000000002,14.225000000000001,23.345,37.849999999999994,59.78499999999999,31.45199999999999,22.97743907981624
debt_to_equity,0.0,0.0925,0.375,0.5525,0.62,0.33100000000000007,0.25540599488309235
free_cash_flow,-2590.914,-244.97250000000008,949.9599999999996,3495.125,4500.119999999998,1770.605,4130.550035851427
